competition_id,match_id,round,team_name,team_location,utc_start,score,completion_rate_percentage,possession_percentage,time_in_own_half,time_in_opp_half,time_in_own20,time_in_opp20,set_restarts,goal_line_dropouts,season,days_rest,season_stage,ladder_points,ladder_points_for,ladder_points_against,ladder_points_diff,ladder_position,elo,shortelo,longelo,result
9867,98670607,6,Knights,home,2016-04-10T06:00:07Z,12.795581760000001,71.11133871999999,45.48518208,1714.0223534400002,1350.7843708799999,1158.9309503999998,631.1552334400001,0,1.16285104,2016,8.08337962962963,Early,1,74,160,-86,15,1457.2233802103767,1490.1599204351658,1429.2728765161976,18
9867,98670607,6,Tigers,away,2016-04-10T06:00:07Z,30.85381407999999,68.24699152,52.25575808,1298.8515916800002,1603.72008544,921.7363123199999,1003.8242288000001,0,0.21268608000000017,2016,7.979201388888889,Early,NA,NA,NA,NA,NA,1487.1740524082334,1497.4301050756467,1476.4069360956248,16
9867,98670608,6,Bulldogs,away,2016-04-11T09:00:08Z,25.9248976,82.98432736,53.47452575999999,1520.4195889600003,1347.34040112,859.7089153600001,1074.832756,0,3.5481519999999995,2016,7,Early,6,102,76,26,7,1509.2349906021768,1502.3922097562966,1513.2154853547306,18
9867,98670608,6,Storm,home,2016-04-11T09:00:08Z,18.226592639999996,78.64680688,47.33608304,1368.4375783999997,1529.0588617600001,891.2416977600002,1018.03155296,0,3.5612819199999994,2016,9.208391203703703,Early,8,97,74,23,2,1529.7796522551737,1507.268283873009,1546.3005726477904,12
9867,98670701,7,Eagles,home,2016-04-14T09:50:01Z,10.413535641600003,73.1277938304,47.099803062400014,1361.4323972448,1508.5772105247997,1077.3200766784,856.4964807327999,0,0.6055500576000005,2016,5.0971875,Early,NA,NA,NA,NA,NA,1501.03132371932,1500.0528075977566,1502.8845985112555,10
9867,98670701,7,Eels,away,2016-04-14T09:50:01Z,8.468543641600004,63.993725721600015,46.30159870080001,1568.9218188800003,1514.8831642912,988.5726745632,737.7088463328001,0,1.8941839999999999,2016,5.201365740740741,Early,8,106,65,41,3,1522.507816403966,1504.9806509505022,1538.3531323501145,22
9867,98670702,7,Cowboys,home,2016-04-15T09:50:02Z,21.8317210496,76.40429087359999,54.4819326592,1540.7214249792003,1481.7513398272,808.1059826655999,1002.9498800191999,0,1.6970080447999998,2016,6.0138541666666665,Early,8,155,73,82,2,1532.0995540895794,1507.376801256567,1553.3073153146372,44
9867,98670702,7,Rabbitohs,away,2016-04-15T09:50:02Z,35.510128185599996,86.86104410879999,52.060847702400004,1516.722973808,1449.665517328,797.6745482624001,1052.0383863424001,0,1.6948269952000004,2016,7,Early,6,134,95,39,8,1496.1301692947532,1499.8052700381202,1489.0328739576587,18
9867,98670703,7,Titans,home,2016-04-16T05:00:03Z,27.6364748736,74.68823659520001,53.96276614720001,1391.0383053695998,1667.5984941888,688.4375639200002,1074.4165399295998,0,0.3657409152000003,2016,6.041631944444444,Early,6,136,133,3,9,1500.5477552316818,1500.0336772533367,1501.2314693208223,14
9867,98670703,7,Dragons,away,2016-04-16T05:00:03Z,12.977058553599997,73.81161665280001,51.124989891199995,1513.1811590464004,1400.1390122144,1043.1123314528002,855.2161109856,0,1.9505588576,2016,8.79863425925926,Early,4,40,128,-88,14,1479.837476417312,1495.141821158416,1468.112833395502,18
9867,98670704,7,Bulldogs,home,2016-04-16T07:30:04Z,25.449403744,83.1652677184,53.38605421439999,1528.2544136224003,1344.9199770528,877.7263804384,1053.30279064,0,3.3952628799999993,2016,4.937453703703704,Early,8,120,88,32,5,1521.414220445525,1504.9272936265468,1535.114280059093,20
9867,98670704,7,Warriors,away,2016-04-16T07:30:04Z,25.253084518399998,75.30746535360002,48.06409712,1596.5571479200003,1238.9440833024003,1037.9179480352,953.8494293472,0,1.1002799776,2016,7,Early,4,140,160,-20,13,1479.1585660081066,1495.1067395902298,1466.211926612265,24
