"","player_id","firstname","surname"
"502",996090,"Brad","Abbey"
"503",996143,"Corey","Harawira-Naera"
"504",996152,"Josh","King"
"505",996161,"Nathaniel","Roache"
"506",996162,"James","Bell"
"507",996164,"Bunty","Afoa"
"508",996341,"Jazz","Tevaga"
"509",997381,"Paul","Momirovski"
"510",997383,"Ofahiki","Ogden"
"511",997563,"Ata","Hingano"
"512",997762,"Tautalatasi","Tasi"
"513",997794,"Connor","Tracey"
"514",997797,"Lachlan","Lewis"
"515",997798,"Lachlan","Croker"
"516",997799,"Jack","Williams"
"517",997833,"Christian","Crichton"
"518",997836,"Jesse","Ramien"
"519",997840,"Nathaniel","Peteru"
"520",997913,"Grant","Garvey"
"521",997936,"Morgan","Boyle"
"522",997956,"Nicho","Hynes"
"523",997958,"Karl","Lawton"
"524",997970,"Tyrell","Fuimaono"
"525",998057,"Marcelo","Montoya"
"526",998301,"Robert","Jennings"
"527",998416,"Latrell","Mitchell"
"528",998432,"Marata","Niukore"
"529",998433,"Alex","Twal"
"530",998441,"Ben","Spina"
"531",998460,"James","Fisher-Harris"
"532",998505,"Joseph","Manu"
"533",998516,"Oliver","Clark"
"534",998526,"Brock","Lamb"
"535",998573,"Tyrone","May"
"536",998593,"Jack","Cogger"
"537",998596,"Poasa","Faamausili"
"538",998680,"Soni","Luke"
"539",999039,"Josh","Hodgson"
"540",999043,"Elliott","Whitehead"
"541",999246,"Greg","Eden"
"542",999247,"Matt","Parcell"
"543",999251,"Rory","O'Brien"
"544",999252,"Abraham","Papalii"
"545",999459,"Darren","Nicholls"
"546",999463,"Angus","Crichton"
"547",999679,"Joe","Greenwood"
"548",999838,"Gideon","Gela-Mosby"
"549",999841,"Kurt","De Luis"
"550",999894,"Josh","Kerr"
"551",999903,"Jacob","Saifiti"
"552",999904,"Daniel","Saifiti"
"553",999910,"Mitch","Dunn"
"554",999915,"Kalyn","Ponga"
"555",999917,"Brandon","Smith"
"556",999919,"Tom","Amone"
"557",999923,"Bevan","French"
"558",999926,"Abbas","Miski"
"559",999929,"Reimis","Smith"
"560",999942,"Siosifa","Talakai"
"561",999947,"Patrick","Herbert"
"562",999956,"Erin","Clark"
"563",999969,"JJ","Felise"
"564",999971,"Jacob","Liddle"
"565",999972,"Esan","Marsters"
"566",999976,"Bayley","Sironen"
"567",999978,"Tevita","Tatola"
"568",1000003,"Nat","Butcher"
"569",1000006,"Jaydn","Su'A"
"570",1000010,"Jed","Cartwright"
"571",1000014,"Kyle","Laybutt"
"572",1000016,"Connor","Watson"
"573",1000023,"Kaide","Ellis"
"574",1000031,"Blake","Lawrie"
"575",1000038,"Dylan","Edwards"
"576",1000251,"Keegan","Hipgrave"
"577",1001179,"Dylan","Phythian"
"578",1001180,"Shaquai","Mitchell"
"579",1001234,"Braidon","Burns"
"580",1001235,"Nathan","Brown"
"581",1001373,"Jonus","Pearson"
"582",1001424,"Zac","Woolford"
"583",1001545,"Reuben","Porter"
"584",1001546,"Billy","Tsikrikas"
"585",1001577,"Tyrone","Amey"
"586",1001586,"Jayden","Okunbor"
"587",1001696,"Troy","Dargan"
"588",1001736,"Junior","Pauga"
"589",1002003,"Billy","Bainbridge"
"590",1002004,"Curtis","Scott"
"591",1002005,"Billy","Magoulias"
"592",1002006,"Daniel","Vasquez"
"593",1002007,"Jack","Hetherington"
"594",1002028,"Toby","Rudolf"
"595",1002031,"Kalani","Going"
"596",1002057,"Corey","Waddell"
"597",1002156,"Tyronne","Roberts-Davis"
"598",1002211,"Brad","Parker"
"599",1002504,"Nathan","Cleary"
"600",1002528,"Ray","Stone"
"601",1002561,"Jarome","Luai"
"602",1002752,"Sam","Stone"
"603",1002837,"Jaimin","Jolliffe"
"604",1002839,"Tom","Starling"
"605",1002866,"Reuben","Garrick"
"606",1003060,"Will","Kennedy"
"607",1003182,"Brodie","Jones"
"608",1003451,"Kerrod","Holland"
"609",1003668,"Leivaha","Pulu"
"610",1003669,"Tom","Wright"
"611",1003674,"Cameron","Murray"
"612",1003773,"Brodie","Croft"
"613",1003776,"Shane","Wright"
"614",1003807,"Morgan","Knowles"
"615",1003819,"Oliver","Gildart"
"616",1003821,"Ryan","Sutton"
"617",1004668,"Cory","Denniss"
"618",1005688,"Clay","Priest"
"619",1005771,"Justin","Olam"
"620",1007392,"Joe","Wardle"
"621",1007394,"Adam","Keighran"
"622",1007398,"Chris","Lewis"
"623",1007399,"Nick","Meaney"
"624",1007401,"Nick","Cotric"
"625",1007403,"Ryley","Jacks"
"626",1007404,"Taniela","Paseka"
"627",1007441,"Jai","Field"
"628",1007443,"Isaiah","Papali'i"
"629",1007454,"Gehamat","Shibasaki"
"630",1007455,"Paul","Roache"
"631",1007456,"Scott","Drinkwater"
"632",1007457,"Kyle","Flanagan"
"633",1007458,"AJ","Brimson"
"634",1007459,"Max","King"
"635",1007463,"Malakai","Watene-Zelezniak"
"636",1007531,"Victor","Radley"
"637",1007533,"Moses","Suli"
"638",1007534,"Joseph","Vuna"
"639",1008489,"Enari","Tuala"
"640",1009175,"Briton","Nikora"
"641",1009576,"Phillip","Sami"
"642",1009970,"Tevita","Satae"
"643",1010021,"Campbell","Graham"
"644",1010190,"Pasami","Saulo"
"645",1010562,"Mikaele","Ravalawa"
"646",1010595,"Jack","Johns"
"647",1010603,"Adam","Doueihi"
"648",1010611,"Lachlan","Lam"
"649",1010991,"Payne","Haas"
"650",1010992,"Jack","Murchie"
"651",1010993,"Isaac","Lumelume"
"652",1010995,"Blayke","Brailey"
"653",1010998,"Jai","Whitbread"
"654",1011000,"Kiah","Cooper"
"655",1011001,"Tevita","Funa"
"656",1011002,"Billy","Walters"
"657",1011003,"Cooper","Johns"
"658",1011004,"Harry","Grant"
"659",1011009,"Ryan","Papenhuyzen"
"660",1011011,"Tino","Fa'asuamaleuai"
"661",1011012,"Zac","Hosking"
"662",1011013,"Brayden","Musgrove"
"663",1011014,"Jake","Clifford"
"664",1011015,"Emry","Pere"
"665",1011016,"Dane","Aukafolau"
"666",1011017,"Jaeman","Salmon"
"667",1011018,"Wayde","Egan"
"668",1011019,"Jordan","Pereira"
"669",1011020,"Reece","Robson"
"670",1011021,"Steven","Marsters"
"671",1011022,"Tristan","Sailor"
"672",1011023,"Zac","Lomax"
"673",1011024,"Jackson","Ford"
"674",1011025,"Jesse","Arthars"
"675",1011028,"Ky","Rodwell"
"676",1011029,"Mawene","Hiroti"
"677",1011032,"Dean","Hawkins"
"678",1011034,"Sitili","Tupouniua"
"679",1011035,"Sean","O'Sullivan"
"680",1011036,"Josh","Curran"
"681",1011038,"King","Vuniyayawa"
"682",1011039,"Chanel","Harris-Tavita"
"683",1011040,"Haze","Dunster"
"684",1011041,"Tyson","Gamble"
"685",1012211,"Liam","Martin"
"686",1012706,"Moeaki","Fotuaika"
"687",1012925,"Kotoni","Staggs"
"688",1013034,"Emre","Guler"
"689",1013240,"Reed","Mahoney"
"690",1013317,"Billy","Smith"
"691",1013318,"Manase","Fainu"
"692",1013449,"Caleb","Aekins"
"693",1013450,"Patrick","Carrigan"
"694",1013520,"Sione","Katoa"
"695",1013613,"Oregon","Kaufusi"
"696",1014350,"David","Fifita"
"697",1014503,"Phoenix","Crossland"
"698",1014504,"Tom","Flegler"
"699",1014505,"Tom","Dearden"
"700",1014508,"Seb","Kris"
"701",1014509,"Corey","Horsburgh"
"702",1014510,"Hudson","Young"
"703",1014512,"Zac","Saddler"
"704",1014513,"Brandon","Wakeham"
"705",1014514,"Bronson","Xerri"
"706",1014517,"Cade","Cust"
"707",1014519,"Beau","Fermor"
"708",1014520,"Dan","Russell"
"709",1014522,"Murray","Taulagi"
